Group,Glycerol,2-Hydroxybutyrate,2-Hydroxyisovalerate,3-Hydroxybutyrate,3-Hydroxyisobutyrate,4-Aminobutyrate,Acetamide,Acetate,Acetoacetate,Acetone,Adenine,ADP,AMP,Anserine,ATP,Choline,Creatine,Dimethylamine,Dimethyl sulfone,Ethanolamine,Formate,Fumarate,Glucose,Hypoxanthine,Inosine,Isobutyrate,Lactate,Malonate,Methanol,myo-Inositol,N-Acetylaspartate,Niacinamide,O-Acetylcarnitine,O-Phosphocholine,Pantothenate,Propylene glycol,Pyroglutamate,Pyruvate,sn-Glycero-3-phosphocholine,Succinate,Fructose,UDP-galactose,UDP-glucose,Urea,Uracil,Xanthine,C0,C2,C3,C3-DC (C4-OH),C3-OH,C3:1,C4,C4:1,C5,C5-DC (C6-OH),C5-M-DC,C5-OH (C3-DC-M),C5:1,C5:1-DC,C6 (C4:1-DC),C6:1,C7-DC,C8,C9,C10,C10:1,C10:2,C12,C12-DC,C12:1,C14,C14:1,C14:1-OH,C14:2,C14:2-OH,C16,C16-OH,C16:1,C16:1-OH,C16:2,C16:2-OH,C18,C18:1,C18:1-OH,C18:2,Ala,Asp,Cit,Gln,Glu,Gly,His,Ile,Leu,Lys,Met,Phe,Thr,Trp,Tyr,Val,Creatinine,Histamine,Taurine,Ser,Pro,alpha-AAA,Carnosine,Putrescine,Sarcosine,SDMA,Serotonin,Spermidine,Spermine,lysoPC a C14:0,lysoPC a C16:0,lysoPC a C16:1,lysoPC a C17:0,lysoPC a C18:0,lysoPC a C18:1,lysoPC a C18:2,lysoPC a C20:3,lysoPC a C20:4,lysoPC a C24:0,lysoPC a C26:0,lysoPC a C26:1,lysoPC a C28:0,lysoPC a C28:1,PC aa C24:0,PC aa C26:0,PC aa C28:1,PC aa C30:0,PC aa C32:0,PC aa C32:1,PC aa C32:2,PC aa C32:3,PC aa C34:1,PC aa C34:2,PC aa C34:3,PC aa C34:4,PC aa C36:0,PC aa C36:1,PC aa C36:2,PC aa C36:3,PC aa C36:4,PC aa C36:5,PC aa C36:6,PC aa C38:0,PC aa C38:3,PC aa C38:4,PC aa C38:5,PC aa C38:6,PC aa C40:1,PC aa C40:2,PC aa C40:3,PC aa C40:4,PC aa C40:5,PC aa C40:6,PC aa C42:0,PC aa C42:1,PC aa C42:2,PC aa C42:4,PC aa C42:5,PC aa C42:6,PC ae C30:0,PC ae C30:1,PC ae C30:2,PC ae C32:1,PC ae C32:2,PC ae C34:0,PC ae C34:1,PC ae C34:2,PC ae C34:3,PC ae C36:0,PC ae C36:1,PC ae C36:2,PC ae C36:3,PC ae C36:4,PC ae C36:5,PC ae C38:0,PC ae C38:1,PC ae C38:2,PC ae C38:3,PC ae C38:4,PC ae C38:5,PC ae C38:6,PC ae C40:1,PC ae C40:2,PC ae C40:3,PC ae C40:4,PC ae C40:5,PC ae C40:6,PC ae C42:0,PC ae C42:1,PC ae C42:2,PC ae C42:3,PC ae C42:4,PC ae C42:5,PC ae C44:3,PC ae C44:4,PC ae C44:5,PC ae C44:6,SM (OH) C14:1,SM (OH) C16:1,SM (OH) C22:1,SM (OH) C22:2,SM (OH) C24:1,SM C16:0,SM C16:1,SM C18:0,SM C18:1,SM C20:2,SM C24:0,SM C24:1,SM C26:0,SM C26:1,H1
Ctrl,15669.4,205.2,56.5,361.5,12,2565.2,16020.8,4332,586.3,57.7,3801.6,61.2,73,61.9,77.7,624.4,13750.9,929.9,84.1,1741.5,587.4,55.8,1484.6,83.3,1798.1,30.8,87349.4,708.5,1601.6,16137,534.2,668.8,41.6,1798,165.9,56.4,3671.5,1578.9,2585.2,610.3,153.4,123.6,112.4,17993.55198,157.5,589.6,20.1,2.17,0.138,0.153,0.01,0.015,0.51,0.046,0.185,0.048,0.037,0.089,0.059,0.01,0.097,0.023,0.013,0.053,0.021,0.039,1.21,0.011,0.044,0.029,1.11,0.1,0.027,0.012,0.011,0.008,0.114,0.008,0.024,0.018,0.019,0.02,0.072,0.082,0.007,0.013,378,171,8.8,1044,892,337,46.2,136,209,100,76,134,105,24.6,91,185,79.5,0.514,143,191,129,1.55,0.773,4.91,14.7,1.27,0.033,24.9,1.79,4.13,18.4,2.66,0.278,3.66,23.5,1.33,1.05,5.68,0.307,0.65,0.165,0.392,0.476,0.242,0.944,0.528,21.7,203,131,2.87,0.386,689,68.8,3.25,0.657,3.19,246,116,27.8,74.7,2.8,0.422,1.69,16.1,73.1,23.2,50.2,0.522,1.05,1.92,10.4,5.67,29.2,0.236,0.663,2.51,0.732,0.555,0.408,0.735,0.168,0.115,8.85,1.04,7.07,59.5,13.8,0.706,1.68,65.3,14.2,7.55,3.67,1.22,1.59,7.59,4.04,4.15,4.05,3.21,2.22,1.83,10.1,4.03,2.05,3.38,2.16,1.4,1.14,1.06,1.77,0.469,1.24,0.486,0.344,1.04,0.103,0.415,2.07,1.66,3.23,0.284,22.2,1.05,85.9,23,0.088,7.36,66.9,0.46,4.91,467
Ctrl,10084.3,220.9,92.6,438,8.3,2351.6,12489.5,6555.2,560.1,51.5,2610.1,96.2,68.5,661.5,20.2,789.8,15696.7,427.2,55.8,1798.4,757,65.4,969.7,2422.7,1190.5,32.9,109190.9,782.8,2316.9,12932.1,586.3,755.9,26.5,1288.6,497.3,52.8,3502.2,1033.6,1503.3,64.3,90.2,50.7,75.4,1970.242343,215.2,555.3,18.9,1.17,0.079,0.215,0,0.029,0.251,0,0.095,0.057,0.379,0.175,0.138,0.057,0.107,0.062,0.014,0.037,0.028,0.064,2.34,0.087,0.086,0.072,1.81,0.182,0.05,0.034,0.098,0.047,0.405,0,0.084,0.089,0.072,0.071,0.104,0.178,0.07,0.087,421,69.1,3.29,1271,632,199,26.7,90.6,132,57.2,40.1,77.6,64.6,15.1,66.1,124,47.3,0.439,174,109,85.2,1.26,0.723,7.33,17,0.278,0.04,24,2.11,6.08,19.7,3.52,0.429,2.97,30.5,2.34,1.4,6.29,0.715,0.728,0.209,0.66,0,0.28,0.912,0.552,25.2,228,119,3.8,0.425,1070,80.9,4.03,0.936,4.22,241,118,26.5,68.4,4.14,0.676,2.3,13.5,62.6,23.1,69,0.573,1.44,1.88,8.89,5.34,36.2,0.286,0.644,2,0.89,0.494,0.487,1.03,0.186,0.148,8.09,0.929,10.6,69.1,13.2,0.639,3.11,74.4,14.9,7.72,3.76,1.41,2.52,8.98,5.2,4.72,4.26,3.25,2.7,2.96,11.3,3.43,1.97,4.51,3.19,1.45,1.03,1.19,1.9,0.708,1.81,0.451,0.44,1.14,0.252,0.724,2.97,3.15,7.3,0.761,33.5,2.13,131,35,0.065,15.2,160,0.626,8.95,2922
Ctrl,12836.6,394.7,93.9,861.2,15.4,4020.4,23196,8626.3,1005.9,98.7,4397.8,130.3,82,993.8,46.4,2161.8,21412,1192.4,99.9,4084.5,1936.9,57.3,764.8,7826.6,1830.1,49.2,121250.3,826.4,2419.2,24496.8,697.4,1058.3,47.5,1569.3,405.5,484,4283.6,1738.3,2143.9,461.1,106.6,162.9,122.9,24621.44474,448.8,785.4,19.3,0.891,0.069,0.176,0,0,0.232,0.125,0.12,0.076,0.511,0.237,0.222,0.079,0,0.103,0.025,0.034,0.059,0.044,1.73,0.068,0.034,0.078,1.55,0.247,0.063,0.03,0.235,0,0.361,0.051,0.07,0.118,0.103,0.059,0.194,0.19,0.102,0.107,432,144,9.66,878,606,295,41,161,328,85.2,34.4,137,117,18.6,93.8,210,211,0.384,133,189,156,0.739,0.621,7.71,17.9,1.13,0.04,22.4,1.52,5.4,26.7,3.84,0.654,6.49,34.6,3.1,0.604,3.55,2.22,2.51,0.777,1.19,0.923,1.04,1.45,0.889,24.9,201,119,5.8,0.911,1050,86.5,4.65,1.12,4.17,206,110,25.1,64,4.6,0.578,2.92,13.1,60.8,20.8,41.7,1.14,3.06,2.98,10.1,5.54,23.1,0.947,1.17,2.46,1.76,0.887,1,1.2,0.313,0.476,8.76,1.19,11.4,59.5,12.8,1.03,8.75,89.5,15.8,7.66,3.74,1.68,3.72,17.8,7.27,9.13,4.76,3.34,3.07,4.2,13.2,7.5,4.36,7.27,3.33,1.38,2.09,2.37,2.94,1.53,2.72,0.918,0.85,0.763,0.346,0.954,3.64,3.79,7.44,1.18,36.7,3.09,165,59.1,0.204,15.3,141,1.21,9.57,3691
Ctrl,10520.2,293,200.1,1309.9,20.6,3395.6,24704.2,6595,103.6,88.7,1637.3,64.5,57.3,782.3,71.6,2031.7,22292.4,897.2,114.2,2997.9,1080.3,103.4,229,5441,1141.5,43.2,95721.5,458,2312.8,15025.1,935.6,778,99.8,1184.4,257,110.4,4851.5,1328.3,1660.1,2254.4,56.6,89.5,75.9,6639.86467,510,668.3,38.5,6.12,0.263,0.255,0,0.01,1.53,0.039,0.445,0.056,0.046,0.217,0.068,0.023,0.244,0.02,0.007,0.063,0.028,0.063,1.31,0.015,0.126,0.017,1.18,0.379,0.064,0.038,0.016,0.012,0.869,0.018,0.449,0.031,0.035,0.046,0.201,1.03,0.028,0.114,352,124,14.2,1089,577,271,34,95.6,156,58.7,39,80.5,102,14.3,59.8,150,87.9,0.456,157,126,111,0.978,0.562,5.53,13,3.4,0.044,20.6,1.54,4.47,27,5.13,0.255,3.77,32.1,2.33,1.04,5.61,0.385,0.575,0.152,0.532,0.485,0.233,0.977,0.52,17.6,222,135,3.65,0.364,644,90,3.09,0.488,2.85,201,135,29,56.1,2.7,0.309,2.21,11.7,44.9,22.2,40.7,0.449,1.58,1.81,6.36,4.29,20,0.239,0.57,2.21,0.734,0.748,0.471,0.657,0.157,0.134,8.15,0.907,9.01,64.2,13.8,0.764,2.75,67.5,14.7,8.35,2.66,1.11,2.07,9.23,5.05,5.12,3.45,3.85,2.69,2.31,9.33,3.37,2.36,4.06,2.34,0.984,0.961,1.03,1.55,0.599,1.45,0.357,0.386,0.541,0.13,0.304,1.81,1.31,2.8,0.312,17.5,0.773,74.7,16.3,0.047,7.06,66.6,0.299,3.49,377
Ctrl,15809.9,573.9,131.3,580,17.2,4709.8,34462.7,5405.1,157.2,198.1,5187.4,195,152.4,1124,113.8,1446.2,25363.7,1036.9,89.8,2912.9,1687.4,183.6,624.1,6558.5,2661.3,60.8,193547.7,675.7,1964.6,16580.3,788.5,980.9,65,1317.9,228.7,242.4,5310.2,784.6,2449.6,2700.9,60.9,209.8,151,4914.950852,623.4,382.6,23.8,2.52,0.115,0.175,0.014,0,0.445,0.066,0.198,0.038,0.26,0.169,0.128,0.036,0.101,0.041,0.014,0.064,0.03,0.014,1.95,0.026,0.089,0.019,1.58,0.144,0.021,0.017,0.035,0.019,0.39,0.007,0.048,0.049,0.035,0.026,0.162,0.264,0.03,0.043,383,60.1,5.22,1210,634,240,31.1,93.7,126,64.8,41.5,82.8,91.6,14.4,68.2,138,72.3,0.504,120,137,98.1,0.889,0.564,8.57,14.9,0.412,0.035,25,2.42,4.23,22.9,3.67,0.27,4.24,27.8,1.57,0.869,6.54,0.694,0.834,0.269,0.547,0,0.463,1.08,0.477,23.7,257,143,2.66,0.386,937,75.7,2.72,0.849,3.92,228,124,22.7,87.3,3.87,0.396,2.16,10.4,68.9,25.1,51.6,0.442,1.48,1.6,8.68,4.85,24.9,0.386,0.537,2.31,0.802,0.575,0.503,0.754,0.146,0.162,7.84,0.844,10.4,59.6,11.6,0.807,3.67,74.4,14.5,7.28,3.85,1.76,2.05,7.97,4.65,5.09,4.59,3.84,2.55,2.51,10.1,3.8,2.59,4.05,2.31,1.34,1.23,1.15,2.16,0.591,1.55,0.511,0.456,0.806,0.147,0.522,2.15,1.81,3.67,0.462,23.4,1.15,102,29.7,0.019,7.8,79.2,0.508,4.94,1118
Ctrl,12581,182,56.8,214,17.2,4385.1,24743.7,7515.7,124.6,74.1,1396.2,66.8,72.9,212.2,76.3,2991,20074,699.2,37.3,4460.5,765.3,192.9,143.3,6722.6,805,20.7,71951.8,424.1,2509.7,19873.8,879.8,709.5,25,1263.2,183.7,150.2,3560.4,302.5,1182.3,1823,20.2,85.6,41.1,175.17788,725.8,1130.2,16.2,0.261,0.017,0.049,0.006,0.004,0.091,0.024,0.074,0.021,0.016,0.125,0.041,0.007,0.014,0.022,0.007,0.056,0.024,0.034,1.07,0.015,0.034,0.022,1.03,0.088,0.011,0.015,0.011,0.012,0.066,0.009,0.011,0.016,0.018,0.024,0.057,0.076,0.007,0.01,308,114,15.7,714,850,324,30.8,74.6,105,46.4,34.5,53.2,75.3,9.69,41.7,122,68.6,0.366,147,160,101,0.942,0.242,4.28,12.3,0.171,0.038,17.3,1.2,3.49,20,2.94,0.245,4.63,25.5,1.3,1.19,6.32,0.515,0.758,0.251,0.402,0.477,0.322,0.968,0.497,17.6,205,103,2.09,0.399,609,59.3,2.58,0.622,3.6,268,112,24.1,76.3,2.63,0.37,1.96,14.6,81.5,20.6,42.5,0.416,1.42,2.06,12.5,5.61,24.7,0.359,0.675,2.73,1.03,0.659,0.586,0.579,0.173,0.23,7.51,0.994,7.88,56.7,16.2,0.894,2.68,66.2,14.3,9.37,3.45,1.21,1.66,8.15,4.39,5.62,4.57,3.41,2.5,2.54,10.8,4.83,3.31,4.46,2.5,1.26,1.24,1.4,2.43,0.695,1.47,0.514,0.361,0.826,0.165,0.371,1.64,1.69,3.86,0.188,18,0.937,75,24.4,0.089,7.96,73.2,0.436,3.97,349
Ctrl,12276.4,1103.3,323,422.2,16.9,4807.2,22424.3,7111.2,987,85.3,5383.2,175.9,106.1,916,35.3,1250,23413.8,688.6,48.8,2869.9,1000.3,121.6,1705.9,5083.2,2416.1,83.3,148215.2,1161.9,1927,25330.7,900.9,1068.8,44.1,2254.6,335,63.6,3961.6,1822.4,1816.5,2932.2,120.3,76.1,137.1,12151.97475,322.8,809.1,24.8,0.481,0.034,0.168,0,0.021,0.295,0.081,0.339,0.04,0.033,0.259,0.138,0.03,0.048,0.047,0.028,0.064,0.056,0.071,2.19,0.053,0.127,0.058,2.18,0.116,0.034,0.058,0.115,0.031,0.205,0.032,0.043,0.043,0.036,0.037,0.081,0.206,0.083,0.059,448,130,6.21,927,786,335,37,168,313,100,101,175,108,21,94.4,232,99,0.405,124,242,110,1.33,0.489,7,19.7,0.307,0.029,27,1.7,5.81,20.3,2.28,0.477,5.15,30.1,1.35,1.01,5.33,1.14,1.22,0.531,0.982,0.833,0.44,1.04,0.517,18.3,166,124,6.08,0.796,1111,76.7,3.86,0.868,4.07,240,140,23.3,63,3.54,0.532,2.86,13.4,61,21.8,51.2,0.75,3.42,1.69,11.1,6.3,27.5,0.577,0.739,3.49,1.14,0.674,0.949,1.05,0.302,0.277,10.4,1.67,12.1,84.7,21.9,1.47,4.94,103,21.6,12.4,4.75,1.2,2.58,13.7,9.21,8.03,5.67,3.71,3.31,2.85,12.7,4.98,3.04,5.17,3.48,1.6,1.56,1.87,2.19,1.05,1.74,0.651,0.479,1.09,0.226,0.848,3.63,2.07,7.32,0.563,26.4,1.73,125,45.5,0.169,14.7,143,0.464,8.22,2317
Ctrl,13939.5,488.6,156.6,493.3,22.7,4405.3,18938.6,7521.5,748.8,82,1536.1,92.9,120.9,1008.1,38.7,1610.5,18471.1,710,99.1,3311.8,937.8,106.5,765.9,4416,984.8,51.1,122673.9,1095.2,2776.2,15224.7,681.5,552.7,45.8,1840,285.7,145.9,8824.1,1792.1,1965,3351.6,59.7,51.8,78.4,8691.611825,507.6,259.4,15.1,2.12,0.036,0.071,0,0.007,0.261,0.039,0.133,0.029,0.032,0.096,0.045,0.015,0.021,0.019,0.007,0.06,0.02,0.027,0.883,0.017,0.075,0.034,0.817,0.219,0.03,0.028,0.017,0.01,0.298,0.009,0.097,0.04,0.018,0.023,0.101,0.227,0.022,0.03,554,147,19.7,1213,707,332,59.5,215,401,108,73.1,152,162,27.8,119,276,96.6,0.455,151,232,216,1.09,0.407,4.51,23.2,0.758,0.029,27.2,2,4.44,24,3.63,0.456,3.42,32.5,2.59,0.829,5.4,0.396,0.726,0.214,0.675,0.52,0.395,0.922,0.573,24.8,161,119,2.95,0.44,639,78.7,3.09,0.801,4.72,193,117,21.9,57.6,3.15,0.513,2.2,9.39,48.1,18.8,46.2,0.43,1.13,1.66,7.11,4.21,20.8,0.327,0.705,2.26,0.682,0.547,0.602,1.27,0.192,0.183,10,1.26,8.71,77.8,14.6,0.979,3.49,81.8,18.7,9.72,4.11,1.21,2.1,9.48,5.07,5.25,4.07,3.44,2.62,2.33,9.78,3.54,2.39,4.2,2.41,1.15,1.08,1.13,1.92,0.604,1.43,0.45,0.296,0.895,0.198,0.406,1.83,1.65,3.74,0.332,16,1.2,64.6,21.4,0.089,6.81,74.6,0.552,4.43,520
Ctrl,11628.6,567.3,85.5,377.5,19.3,5049.1,31699.7,4606.8,1290.8,121.3,8504.1,213.4,95.6,950.9,83.1,1392,27295.5,946.9,98.3,4122.6,804,152.6,510,5665.7,3447.4,73.2,154862.3,501.7,2103.8,28365.4,939.7,1120,22.8,1393.8,288.4,123.3,4443,2219.6,2831.3,3180.8,35.4,150.6,102.7,8777.809628,305.2,979,15.2,0.235,0.068,0.215,0.008,0,0.427,0.037,0.127,0.031,0.059,0.215,0.062,0.024,0.03,0.019,0.008,0.057,0.019,0.035,0.793,0.018,0.054,0.027,0.94,0.117,0.024,0.016,0.022,0.01,0.155,0.009,0.027,0.021,0.02,0.022,0.085,0.08,0.01,0.016,532,127,4.1,1547,1172,336,29.2,75,115,64.9,6.01,77,76.9,18.6,75.6,118,75.7,0.411,229,166,82.3,2.56,0.563,7.4,20.6,0.554,0.048,27.7,2.97,3.91,24.9,3.41,0.342,5.39,32.2,1.24,1.26,7.17,0.746,1,0.322,0.708,0.564,0.477,1.1,0.663,23.9,268,140,1.8,0.573,778,58.4,2.87,0.818,2.92,313,137,30.7,102,3.25,0.501,2.65,18.1,99.6,27,67.9,0.745,1.92,2.52,15.2,6.76,39.7,0.63,0.931,2.8,1.26,0.915,0.872,0.92,0.23,0.251,9.66,1.06,10.3,74.3,14.1,0.82,5.37,88.4,17.5,9.16,4.24,1.34,2.47,12.3,6.15,8.02,5.5,4.07,3.28,2.95,11.8,6.83,3.63,5.89,2.96,1.6,1.91,1.87,2.63,0.98,2.07,0.664,0.485,1.1,0.316,0.426,2.21,1.87,4.42,0.326,21.1,1.14,112,35,0.058,8.52,94.9,0.437,4.28,415
Ctrl,17668.2,1043.2,178.5,594.8,28.3,5020.2,15755.1,12849.5,1430.2,63.7,1422.8,122.5,53.2,1059.7,63.1,3342.7,25089.6,655,93.3,4012.5,2058.4,194.3,266.3,6933.7,712.3,97.2,141590.6,724.2,5164.9,14403.4,841.2,772,112.7,2064.4,244.7,108.1,7123.3,2424.9,3535.2,541.4,30,158.4,178.4,12676.58416,777.7,381.3,56.3,6.65,0.525,0.253,0.009,0,1.13,0.028,0.733,0.062,0.036,0.392,0.127,0.015,0.141,0,0.019,0.077,0.021,0.131,1.35,0.018,0.273,0.032,1.36,0.394,0.091,0.049,0.022,0.012,1.07,0.024,0.282,0.065,0.038,0.051,0.472,0.741,0.043,0.077,628,135,29.6,1262,971,435,58.6,153,261,99.5,58.1,147,157,26.3,98.6,259,146,0.573,197,201,190,4.46,0.573,7.1,25.2,0.558,0.036,22,1.94,3.65,19.9,2.1,0.51,5.69,19.8,1.07,0.723,3.65,1.02,1.18,0.397,1.03,0.836,0.792,1.32,1,21.8,195,118,1.8,0.539,677,65.1,2.57,0.784,4.41,253,118,19.3,68.2,3.21,0.467,3.45,12.5,66.2,19.1,53.1,0.839,2.59,2.67,10.3,5.26,26.2,0.575,0.917,3.16,1.46,1.03,0.753,1.16,0.364,0.385,11.2,1.56,11.8,80.9,18.1,1.11,5.45,92.3,18.3,10.2,6.2,2.89,2.62,14.6,7.61,7.77,6.1,5.39,4.83,2.95,12.4,6.3,3.39,6.78,3.86,1.46,1.82,1.9,2.9,1.33,2.42,0.7,0.654,1.22,0.305,0.739,1.91,1.62,4.78,0.324,23.6,1.51,68.8,23.5,0.067,8.02,81.6,0.392,4.08,296
